id,display_name,display_name_alternatives,type,season,description
1,蝦夷,えぞ,歌枕,,
2,真野入江,"まののいりえ,真野の入江",歌枕,,滋賀県大津市西岸の入江
3,志賀,しが,歌枕,,滋賀県大津市琵琶湖西岸一帯。枕詞「さざなみ」が対応
4,鳰海,"におのうみ,鳰の海,におの海",歌枕,,滋賀県琵琶湖の別名
5,逢坂関,"おうさかのせき,あふさかのせき,あふ坂の関,逢坂の関,相坂の関",歌枕,,近江国・山城国国境の関所
6,唐崎,からさき,歌枕,,滋賀県大津市の地名
7,打出浜,"うちでのはま,打出の浜",歌枕,,滋賀県大津市琵琶湖の浜
8,瀬田橋,"せたのはし,瀬田の長橋,瀬田の唐橋",歌枕,,滋賀県大津市琵琶湖。瀬田の長橋、瀬田の唐橋とも
9,野洲川,やすがわ,歌枕,,滋賀県を流れ琵琶湖に注ぐ川
10,信楽,しがらき,歌枕,,滋賀県甲賀市信楽町
11,粟津,あわづ,歌枕,,滋賀県大津市。粟津野、粟津の里、粟津の原、粟津の森とも
12,石山,いしやま,歌枕,,滋賀県大津市の地名
13,伊吹山,いぶきやま,歌枕,,滋賀県・岐阜県の山。別説では栃木県の伊吹山
14,近江の海,"おうみのうみ,あふみあはうみ",歌枕,,滋賀県琵琶湖の別名
15,不破の関,ふわのせき,歌枕,,岐阜県不破郡関ケ原町
16,垂井水,"たる井の水,垂井の水",歌枕,,岐阜県不破郡垂井町
17,筵田,むしろだ,歌枕,,岐阜県本巣市
18,結ぶ神,むすぶかみ,歌枕,,岐阜県安八郡安八町、現結神社。
19,位山,くらいやま,歌枕,,美濃国の山
20,浅間山,あさまやま,歌枕,,長野県浅間山。
21,安曇野,あづみの,歌枕,,長野県安曇野市周辺。
22,更科,"さらしな,更科山,更級山,さらしなやま,姥捨山,うばすてやま,おばすてやま,をばすて山",歌枕,,長野県千曲市にある冠着山（かむりきやま）。
23,諏訪海,すわのうみ,歌枕,,長野県諏訪湖。
24,園原,そのはら,歌枕,,長野県下伊那郡阿智村。
25,佐野船橋,さののふなはし,歌枕,,群馬県高崎市の烏川沿岸の舟橋。
26,伊香保,"いかほ,伊香保沼,いかほのぬま",歌枕,,群馬県高崎市。 榛名山のカルデラ内に生じた火口原湖で、水系としては利根川に属する。 
27,安蘇の川原,あそのかわら,歌枕,,眺望スポット
28,室の八嶋,むろのやしま,歌枕,,栃木県栃木市の大神神社内。古くは大炊寮の竃を指すとも
29,しはぶきの杜,"しわぶきのもり,しはふきの森",歌枕,,栃木県栃木市、室の八嶋の近くにある森
30,標茅ヶ原,"しめじがはら,しめじが原,しめぢが原",歌枕,,栃木県栃木市の伊吹山東方の原野。さしもぐさ（ヨモギの呼名）が名産。あるいは近江国。
31,阿古耶松,あこやのまつ,歌枕,,山形県山形市にある千歳山の松。
32,象潟,"きさかた,きさがた",歌枕,,秋田県にかほ市象潟町。
33,袖浦,そでのうら,歌枕,,山形県酒田市にある最上川の河口。
34,最上川,もがみがわ,歌枕,,山形県の最上川。
35,善知鳥,うとう,歌枕,,青森県青森市善知鳥神社。「善知鳥」村は青森市の昔の名前。
36,十符浦,とふのうら,歌枕,,青森県上北郡野辺地町の海岸。
37,尾駁牧,"おぶちのまき,おぶちのこま",歌枕,,青森県上北郡六ヶ所村の牧場と馬。
